    disease,disease_pretty_name,morbidity_class,engine_file,bmi,smoking,alcohol,physical_activity,hypertension,diabetes,cholesterol,pm25,sleep,ethnicity,age_sex_only,notes
oesophageal_cancer,Oesophageal Cancer,Cancer,disease_engines/cancer/oesophageal_cancer.R,1,0,0,0,0,0,0,0,0,0,0,Explicit RR-based cancer engine
uterine_cancer,Uterine Cancer,Cancer,disease_engines/cancer/uterine_cancer.R,1,0,0,0,0,0,0,0,0,0,0,Explicit RR-based cancer engine
kidney_cancer,Kidney Cancer,Cancer,disease_engines/cancer/kidney_cancer_engine.R,1,0,0,0,0,0,0,0,0,0,0,Explicit RR-based cancer engine
ovarian_cancer,Ovarian Cancer,Cancer,disease_engines/cancer/ovarian_cancer.R,1,0,0,0,0,0,0,0,0,0,0,Explicit RR-based cancer engine
cervical_cancer,Cervical Cancer,Cancer,disease_engines/cancer/cervical_cancer.R,0,1,0,0,0,0,0,0,0,0,0,Explicit RR-based cancer engine
hypertension,Hypertension,Cardiovascular,disease_engines/hypertension_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
type1_diabetes,Type 1 Diabetes,Other,disease_engines/diabetes_type_1_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
prostate_cancer,Prostate Cancer,Cancer,disease_engines/cancer/prostate_cancer.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
brain_cancer,Brain Cancer,Cancer,disease_engines/cancer/brain_cancer.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
epilepsy,Epilepsy,Neurological,disease_engines/epilepsy_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
ibd,Inflammatory Bowel Disease,Other,disease_engines/ibd_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
interstitial_lung_disease,Interstitial Lung Disease,Respiratory,disease_engines/Intersistal_lung_disease_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
systemic_lupus_erythematosus,Systemic Lupus Erythematosus,MSK,disease_engines/systemic_lupus_erythematosus_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
hypothyroidism,Hypothyroidism,Other,disease_engines/hypothyroid_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
alcohol_related_liver_disease,Alcohol-Related Liver Disease,Other,disease_engines/alcoholic_related_liver_disease.R,0,0,1,0,0,0,0,0,0,0,1,Table-driven incidence by age-sex and alcohol strata
non_alcoholic_fatty_liver_disease,Non-Alcoholic Fatty Liver Disease,Other,disease_engines/non_alcoholic_fatty_liver_disease.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
osteoporosis,Osteoporosis,MSK,disease_engines/osteoporosis_engine.R,0,0,0,0,0,0,0,0,0,0,1,Primarily age-sex incidence lookup
